,Unnamed: 0,KATEGORI,ISI
0,2,2,"<p><strong>JawaPos.com</strong> - Pemerintah melalui Direktorat Jenderal Kekayaan Negara (DJKN) Kementerian Keuangan akan menyelenggarakan lelang sukarela sejumlah koleksi pribadi milik pejabat negara. Rencananya, lelang tersebut diselenggarakan pada Hari Rabu, 28 Februari 2018 mendatang.</p>

<p>Direktur Lelang Ditjen Kekayaan Negara Lukman Effendi mengatakan, diharapkan lelang tersebut dapat memberikan kontribusi bagi perekonomian negara. Apalagi, jika hasil lelang yang dicapai cukup besar, maka kontribusi bagi negara juga besar. ""Kita ingin meningkatkan kontribusi lelang terhadap perekonomian kita,"" ujarnya dalam konferensi pers di Kementerian Keuangan, Jakarta, Senin (26/2).</p>

<p>Dia mencontohkan, pada 2017 lalu hasil lelang yang dilakukan selama satu tahun berhasil tercapai sebesar Rp 16,3 triliun. Pendapatan itu secara nasional meningkat tajam dengan kenaikan sebesar Rp 3,146 Triliun, dari capaian sebesar Rp 13,126 Triliun pada tahun 2016 menjadi Rp 16,275 Triliun pada tahun 2017.  ""Dari lelang tersebut kita mendapat bea lelang sebesar Rp 375 miliar. Ini belum termasuk pajak dan BPHTB. Kalau ditambah itu bisa mencapai Rp 1,2 triliun penerimaan negara yang di<em> create</em> dari situ,"" jelas dia.</p>

<p>""Ini adalah pelayanan. Karena di tingkat pelayanan kita sudah melayani 55.674 ribu frekuensi lelang. Sehingga pergerakan perekonomian negara bisa jalan dari sini,"" tambahnya.  Disamping itu, pengadaan lelang khususnya barang-barang sitaan miliki Komisi Pemberantasan Korupsi (KPK) maupun Kejaksaan Agung (Kejagung) dilakukan guna mempermudah penuntasan kasus hukum.</p>

<p>""Kalau masalah lelang sifatnya sitaan dan lainnya kita bisa menuntaskan kasus hukumnya. Karena kasus hukum kalau tidak dilelang akan tidak tuntas kasusnya,"" tandasnya. </p>

<p><strong>(hap/JPC)</strong></p>
-nan"
1,4,2,"<p><strong>Jakarta -</strong> Sebanyak 367 Calon Aparatur Sipil Negara (CASN) me<em>launching</em> program <em>Oh JustFound Talent!</em> Pada Jumat (2/2) di aula Gedung DJKN, Jakarta Pusat. <em>Oh JustFound Talent!</em> merupakan OJT <em>development program, </em>kerja sama Bagian Kepegawaian Sekretariat DJKN dengan 367 CASN yang tergabung dalam DJKN muda. Program ini merupakan bagian dari OJT <em>Development Program</em> untuk pengembangan potensi minat dan bakat serta keterampilan yang difasilitasi langsung oleh Kepegawaian.</p>

<p>Dengan mengusung <em>tagline</em> <em>Let’s ASSET, Advance Super Skill with Extraordinary Talent</em>, program ini menjadi titik awal 367 CASN untuk menampilkan bakat dimiliki. Program yang diketuai oleh Aldi Dwiyanto Yurioputra ini mengangkat tema <em>value</em> dan <em>talent</em>. <em>Oh JustFound Talent!</em> terdiri dari beberapa rangkaian acara, seperti CIYAT (<em>Culture In Your Amazing Talent</em>), Itu <em>Talkshow</em> dan acara spektakuler lainnya.</p>

<p>Acara dibuka dengan penyampaian materi pengenalan Reformasi Birokrasi dan T<strong>ransformasi </strong>Kelembagaan (RBTK) yang disampaikan oleh perwakilan <em>Project Management Office</em> (PMO) Dewi Indrias Ayuni. Dalam pengenalan ini, Indri menjelaskan mengenai awal dan perkembangan transformasi kelembagaan DJKN.</p>

<p>Dalam acara ini, ada juga bincang santai dan <em>sharing</em> inspiratif yang terpadu dalam program “<em>Itu Talksho</em>w” dan menghadirkan narasumber Tenaga Pengkaji Restrukturisasi Privatisasi Efektivitas Kekayaan Negara Dipisahkan Arik Haryono. Dalam bincangannya, pria yang gemar mengoleksi benda seni ini ingin menanamkan sikap optimis pada setiap DJKN muda. Ia berpesan agar para CASN tidak mudah berputus asa, menjauhkan diri dari segala bentuk pesimistis dimanapun akan ditempatkan nantinya. “Tidak ada yang salah ataupun tertukar dari apa yang diberikan oleh Tuhan,” ujarnya sebagai kalimat motivasi. Arik juga menjelaskan mengenai peluang besar untuk melanjutkan studi, sehingga DJKN muda harus mulai merencanakan mimpi dan berjuang meraihnya dari sekarang. Terakhir, ia berpesan agar CASN bekerja dengan tulus, ikhlas dan berusaha mengukir prestasi untuk mencapai mimpi tersebut menjadi akhir penutup bincang tersebut.</p>

<p>Memecah suasana, games pembacaan puisi berhasil menarik perhatian peserta. Membaca puisi dengan topik yang sama sekali tidak berhubungan membuat gelak tawa penonton karena kelucuan dari puisi dan hasil rapat yang dibacakan secara bergantian. Itu <em>Talkshow</em> yang diikuti s<em>haring</em> inspiratif dengan Afrodita Irma Puspita Sary, DJKN muda yang mampu berjuang mengukir prestasi dengan keterbatasan yang dimiliki.</p>

<p>Tepuk tangan yang meriah menggema saat penampilan bakat <em>group band</em> dan tarian dari DJKN muda. Gerak gemulai para penari mengikuti irama musik mencuri perhatian peserta yang hadir. Selingan pemutaran video dan games keakraban membuat suasana semakin pecah. Pengenalan dan pembagian kelompok pembekalan agama serta pembagian hadiah untuk pemenang menjadi penutup <em>Oh JustFound Talent!</em> sore itu. (nsw/fya)</p>
-nan"
2,5,2,"<p>KONTAN.CO.ID -JAKARTA. Pengembang swasta ingin turut berperan mengambil bagian dalam mengembangkan kawasan Transit Oriented Development (TOD) atau kawasan yang terintegrasi dengan transportasi massal. Sebab, TOD merupakan pengembangan jangka panjang yang membutuhkan perencanaan matang.<br />
<br />
Menurut Budiarsa Sastrawinata, Presiden Kehormatan International Urban Development Association (INTA), konsep TOD tidak sebatas bangunan properti yang dipakai sebagai pemukiman yang terletak di stasiun suatu transportasi massal. Tetapi memiliki lingkup yang lebih luas lagi yakni suatu kawasan yang selain dilengkapi dengan fasilitas transportasi juga dilengkapi dengan fasilitas-faslitas lain.Baca Juga<br />
<br />
Oleh karena itu, Budi menilai dalam pengembangan TOD perlu ada sinergi antara pemerintah dan pengembang swasta yang sudah berpengalaman dalam membangun sebuah kawasan terpadu.<br />
<br />
""Jika tidak dipersiapkan dengan baik, bisa-bisa kawasan TOD itu justru menimbulkan masalah baru. Tidak hanya dalam persiapan, pengelolaan kawasan itu setelah jadi juga perlu diperhatikan,"" kata Kata Budi di Jakarta, Kamis (15/2).<br />
<br />
Budi mengatakan, proyek TOD yang selama ini digaungkan pemerintah dibangun di stasiun-stasiun kereta api bukan merupakan konsep TOD yang sebenarnya. Menurutnya, konsep TOD itu harus juga memikirkan kebutuhan dari masyarakat yang nantinya menghuni kawasan yang dibangun mulai dari pendididikan, kesehatan, dan kebutuhan komersial lain.<br />
<br />
Sementara Direktur Ciputra Group, Agus Surja Widjaja mengatakan, saat ini diperjelas lagi peran pemerintah dan swasta dalam pengembangan hilirisasi proyek infrastruktur. Selama ini, pemerintah telah menugaskan Badan Usaha Milik Negara (BUMN) sebagai pelaksana proyek infrastruktur dan properti dan belum ada kebijakan yang jelas mengenai peran swasta.<br />
<br />
Menurut Agus, sebaiknya pemerintah lewat penugasan kepada BUMN cukup hanya mengembangkan infastrukturnya saja tetapi untuk pengembangan properti sebaiknya diserahkan kepada swasta.<br />
<br />
""Seharusnya pemerintah itu mengerjakan apa yang tidak bisa dikerjakan swasta saja. Daripada anggaran negara dipakai menyuntik BUMN buat bangun properti, lebih baik uangnya dihhemat untuk bangun infrastruktur dan bangun properti ini diserahkan ke swasta saja,"" tuturnya.<br />
<br />
Agus mengatakan, pengembang swasta sebenarnya sanggup membangun kawasan TOD asalkan skemanya diserahkan pada mekanisme pasar. Kalaupun pemerintah ingin mematok harga yang diperuntukkan bagi masyarakat berpenghasilan rendah (MBR), menurut Agus, pengembang swasta harus diberikan insentif seperti yang didapatkan pengembang BUMN selama ini.<br />
<br />
""Kalau pemerintah ingin swasta membangun rumah yang affordable lebih banyak maka harus diberikan insentif seperti pajak, insetif dalam mendapatkan lahan yang affordable. Swasta kalau ada untung di atas kertas pasti digarap. Kalau pembangunan diserahkan ke swasta pasti pengembangannya akan lebih cepat,"" jelas Agus.<br />
<br />
Reporter Dina Mirayanti Hutauruk Editor Sanny CiciliaINDUSTRI PROPERTI</p>
-nan"
3,10,2,"<p>Jakarta - PT Sarana Multigriya Finansial (SMF) mencatatkan total laba setelah pajak sebesar Rp 397,4 miliar di 2017. Angka itu naik 25,3% dari perolehan di tahun sebelumnya sebesar Rp 317,28 miliar.<br />
<br />
BUMN milik Kementerian Keuangan (Kemenkeu) ini juga telah menyalurkan pinjaman baru sebesar sepanjang 2017 sebesar Rp 7,25 triliun. Jika ditambah dengan pinjaman outstanding maka total pinjaman SMF hingga akhir 2017 mencapai Rp 11,1 triliun, atau naik 33,4% Rp 8,3 triliun dari tahun sebelumnya.<br />
<br />
""Total aset kami juga naik dari Rp 13,12 triliun menjadi Rp 15,66 triliun. Ini juga karena kami mendapatkan PMN dan terbitkan surat utang,"" kata Direktur SMF Trisnadi Yulrisman di Gedung SMF, Jakarta, Jumat (2/3/2018).<br />
<br />
Tahun lalu perseroan juga telah melakukan sekuritisasi aset sebesar Rp 1 triliun untuk pembiayaan perumahan. Jadi total surat utang yang tercatat dalam laporan keuangan perseroan 2017 sebesar Rp 7,2 triliun. Alhasil total liabilitas naik 18,1% dari Rp 6,5 triliun menjadi Rp 7,7 triliun<br />
<br />
Jika dilihat dari 2015 perseroan telah melakukan penghimpunan dana dari pasar modal melalui sekuritisasi aset sebesar Rp 8,15 triliun.<br />
<br />
Sedangkan total penyaluran pinjaman dari 2015 mencapai Rp 27,47 triliun. Dari angka itu sebesar Rp 13,5 triliun disalurkan untuk KPR program FLPP (Fasilitas Likuiditas Pembiayaan Perumahan) dan SSB (Subsidi Selisih Bunga).<br />
<br />
SMF juga mencatatkan total pendapatan di 2017 sebesar Rp 1,17 triliun. Angka itu naik 20,3% dari posisi tahun sebelumnya Rp 979,89 miliar.(hns/hns)</p>
-nan"
4,16,2,"<p>Menteri Keuangan Sri Mulyani (kiri) berbincang dengan Menteri BUMN Rini Soemarno di sela-sela peresmian Integrasi Data Perpajakan antara Direktorat Jenderal Pajak dan Pertamina, di Jakarta, Rabu (21/2/2018). - JIBI/Felix Jody KinarwanJAKARTA Kementerian Badan Usaha Milik Negara dan Tentara Nasional Indonesia berkolaborasi untuk mempercepat sejumlah pembangunan infrastruktur.<br />
<br />
Kedua belah pihak menjalin kerja sama strategis dalam rangka mengoptimalisasi sumber daya kedua institusi. Kerja sama tersebut dituangkan ke dalam nota kesepahaman yang diteken oleh Menteri Badan Usaha Milik Negara (BUMN) Rini M. Soemarno dan Panglima Tentara Nasional Indonesia (TNI) Marsekal Hadi Tjahjanto, di Cilangkap, Jakarta, Senin (5/3/2018). Melalui penandatangan tersebut, Kementerian BUMN dan TNI bekerja sama untuk pemanfaatan sumber daya manusia (SDM), pendidikan, pelatihan, pemanfaatan fasilitas, serta sosialiasi dalam rangka optimalisasi sumber daya BUMN dan TNI.<br />
<br />
Menteri BUMN mengatakan kerja sama tersebut akan membuat kedua belah pihak mengoptimalkan sumber daya masing-masing. Tujuannya, untuk mempercepat sejumlah proyek percepatan penyediaan infrastruktur fasilitas sosial dan fasilitas umum.<br />
<br />
Adapun program yang dicanangkan, sambungnya, yakni program bedah rumah veteran, renovasi sekolah, infrastruktur dasar, jalan, serta, jembatan bagi masyarakat.<br />
<br />
""Tentu saja, semuanya dilaksanakan dalam koridor hukum yang berlaku dengan memperhatikan ketentuan peraturan perundang-undangan,"" ujarnya melalui siaran pers, Senin (5/3/2018).<br />
<br />
Sementara itu, Panglima TNI menyambut baik nota kesepahaman yang diteken. Pihaknya menyatakan akan mendukung kelancaran tugas dan fungsi BUMN sebagai agen pembangunan.</p>
-nan"
5,19,2,"<p><strong>Jakarta</strong> - Pemerintah pusat telah sepakat untuk menghapus minyak dan gula dari bantuan pangan non tunai (BPNT). Hal tersebut diungkapkan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (PMK) Puan Maharani usai menggelar rapat bersama wakil Menteri Keuangan Mardiasmo, Menteri Sosial Idrus Marham, Menteri PPN Bambang Brojonegoro, Menteri BUMN Rini Soemarno.<br />
<br />
""Yang bisa saya sampaikan adalah karena kita juga mempertimbangkan masalah gizi, dan kebutuhan yang diperlukan oleh masyarakat sekarang ini. Beras adalah bahan makanan pokok yang menjadi kebutuhan pokok. Kemudian tentu saja protein rakyat kita itu paling perlu banyak makan protein itu salah satu yang bisa kita lakukan,"" papar dia di Gedung Kementerian Koordinator PMK, Jalan Medan Merdeka, Selasa (20/3/2018).</p>

<p>Puan juga menjelaskan, bantuan sosial beras sejahtera (rastra) dan pangan non tunai, per 19 Maret sudah mencapai 97% penyaluran bantuan pangan non tunai di 44 kota mencapai 86% dengan hasil seperti itu pemerintah mempertimbangkan untuk memperluas bantuan tersebut ke 24 kabupaten dan kota.<br />
<br />
""Kajian semuanya akan mengenai perluasan pangan non tunai. Dari hasil survey keluarga penerima manfaat puas bantuan pangan non tunai. Dan bantuan itu hanya bisa digunakan keluarga penerima manfaat (KPM) untuk mengambil beras dan telur,"" papar dia.<br />
<br />
Dari sistem tersebut KPM yang menerima bantuan Rp 110.000 hanya bisa membeli kebutuhan pokok berupa beras dan telur sesuai dengan harga jual.<br />
<br />
""Jadi bansos rstra dilakukan tiap bulan Maret penerima bansos rastra 97% semua secara nasional Januari, Februari Maret itu 97% secara nasional,"" kata dia.<br />
<br />
24 kota dan kabupaten yang diperluas beberapa diantaranya yaitu Aceh, Solok, Bengkulu, Pangkal Pinang, Tanjung Pinang dan beberapa kota lainnya. Dalam rapat tersebut beberapa menteri juga mengatakan siap dengan adanya perluasan wilayah BPNT.<br />
<br />
""April sedang akan dikaji apakah daerah siap apa tidak dengan sarana infrastruktur, kalau kita siap,"" kata dia.</p>

<p>Diketahui, penerima bantuan sosial pada tahun ini mencapai 15,5 juta KPM. Adapun, sampai akhir 2018 ditargetkan 10 juta KPM menjadi sasaran BPNT. Di mana, realisasi BPNT dilakukan secara bertahap, di Januari akan ada 1,2 juta KPM yang terkena perluasan, pada Februari menjadi 3,9 juta KPM, Maret sampai Juni menjadi 7,2 juta, Juli menjadi 9,1 juta, dan Agustus sampai Desember menjadi 10 juta KPM.<br />
<br />
Dana PKH yang diterima satu keluarga penerima manfaat, yakni sebesar Rp 1.890.000. Adapun, pencairan tahap pertama adalah sebesar Rp 500.000. Penyaluran ke KPM, baik BPNT maupun rastra dilakukan rutin setiap tanggal 25 setiap bulan.</p>
-nan"
6,21,2,"<p>Direktur Utama BPJS Ketenagakerjaan (BPJSTK) Agus Susanto (kiri), bersama Direktur M Krishna Syarif meninjau layanan Care Contact Center, selepas peresmiannya, di Jakarta, Rabu (18/10). - JIBI/Endang Muchtar JAKARTA Hingga Januari 2018, BPJS Ketenagakerjaan telah menyalurkan Rp73 triliun dari total dana kelolaan untuk mendukung sektor infrastruktur.<br />
<br />
Direktur Utama BPJS Ketenagakerjaan Agus Susanto mengatakan hingga akhir Januari 2018 dana kelolaan yang sudah berhasil dihimpun pihaknya mencapai Rp320 triliun.""Dari Rp320 triliun ini, sebanyak 81% kami tempatkan di pihak-pihak dengan kegiatan pemerintah. Artinya, 81% yang digunakan untuk roda-roda pemerintah. Kemudian, ada sebesar Rp73 triliun yang kami investasikan untuk mendukung infrastuktur per 31 Januari 2018, ini akumulasi,"" paparnya di Kantor Wakil Presiden, Rabu (21/3/2018).<br />
<br />
Menurut Agus, penyaluran dana tersebut tidak dalam bentuk investasi langsung. Dia mencontohkan salah satu instrumen investasi adalah surat utang yang dikeluarkan BUMN karya untuk membangun jalan tol.<br />
<br />
Ke depan, pihaknya berkomitmen terus menanamkan dana kelolaan pada instrumen investasi yang akan memberikan keuntungan bagi para peserta.<br />
<br />
""Selama Tingkat risikonya juga terkelola dengan baik sesuai dengan regulasi yang ada dan juga mendukung kebijakan pemerintah, tentu kami akan masuk ke intrumen tersebut. Target angka investasi di infrastruktur kami belum memiliki, tapi setiap ada kesempatan kami akan masuk selama memasuki kriteria tersebut,"" terangnya.<br />
<br />
Sebagai gambaran, target dana kelolaan BPJS Ketenagakerjaan pada 2018 adalah sebesar Rp367,88 triliun. Tahun lalu, jumlahnya mencapai Rp317,26 triliun.<br />
<br />
Adapun jumlah kepesertaan aktif ditargetkan mencapai 29,65 juta peserta pada 2018, naik sekitar 13,03% dari realisasi tahun lalu.</p>
-nan"
7,23,2,"<p>Hampir semua negara di dunia memiliki utang sebagai salah satu instrumen utama membiayai pembangunan terutama pembangunan infrastruktur.</p>

<p>Peneliti <em>Institute for Fevelopment of Economics and Finance</em> (Indef) Rizal Taufikurahman mengungkapkan beberapa negara yang mengandalkan utang untuk membangun infrastruktur di antaranya Korea Selatan, Angola, Zimbabwe, Nigeria, Sri Lanka, Jepang, dan Cina.</p>

<p>Namun, utang yang menjadi penopang pembangunan infrastruktur di negara tersebut tampaknya tidak semua memberikan hasil positif. Ada beberapa negara yang justru berujung pada kegagalan alias bangkrut.</p>

<p>""Jadi, ada <em>bad story</em> dan <em>success story</em>. Yang <em>bad story</em> itu Angola, Zimbabwe, Nigeria, Pakistan, dan Sri Lanka,"" kata Rizal dalam konferensi pers di Jakarta, Rabu (21/3/2018).</p>

<p>Lebih lanjut diceritakan pada awal 1960-an Korea Selatan mendapat bantuan keuangan dari Amerika Serikat (AS). Bantuan atau utang tersebut digunakan secara produktif untuk membangun SDM dan industrinya.</p>

<p>""Bantuan keuangan ini tidak membuat Korea Selatan terjebak dalam lingkaran utang seperti yang dialami banyak negara berkembang. Korsel kini menjadi negara pengekspor peringkat delapan dunia setelah Cina, Amerika Serikat, Jerman, Jepang, Prancis, Belanda, dan Inggris. Orientasi ekonomi pada ekspor menjadi salah satu pendongkraknya,"" ujarnya.</p>

<p>Kondisi terbalik justru terjadi pada Zimbabwe. Akibat utang sebesar US$40 juta kepada Cina, akhirnya Zimbabwe harus mengikuti keinginan Cina dengan mengganti mata uangnnya menjadi Yuan sebagai imbalan penghapusan utang. Hal itu berlaku sejak 1 Januari 2016 setelah tidak mampu membayar utang jatuh tempo pada akhir Desember 2015.</p>

<p>Kegagalan juga disusul Nigeria di mana model pembiayaan melalui utang yang disertai perjanjian merugikan negara penerima pinjaman dalam jangka panjang. Cina mensyaratkan penggunaan bahan baku dan buruh kasar asal Cina untuk pembangunan infrastruktur di Negeria.</p>

<p>Untuk Sri Lanka juga sama kondisinya tidak mampu membayar utang yang akhirnya pemerintahannya melepas Pelabuhan Hambatota sebesar Rp1,1 triliun atau 70% sahamnya dijual kepada BUMN Cina.</p>

<p>Lalu, bagaimana dengan Indonesia? Total utang pemerintah per akhir Februari 2018 sudah mencapai Rp4.034,8 triliun atau setara dengan rasio 29,24% terhadap produk domestik bruto (PDB) Indonesia. Total utang tersebut sebagian besar digunakan untuk kebutuhan belanja infrastruktur.</p>
-nan"
8,28,2,"<p>Senin (19/3) pengurus Penundaan Kewajiban Pembayaran Utang (PKPU) PT Merpati Nusantara Airlines menggelar rapat kreditur beragendakan pencocokan piutang alias verifikasi.</p>

<p>Salah satu pengurus PKPU Merpati Beverly Charles Panggabean menyatakan dari hasil pencocokan tersebut diketahui tagihan yang masuk ke pengurus senilai total Rp 11,03 triliun.</p>

<p>""Totalnya senilai Rp 11,03 triliun dari 905 kreditur yang mendaftarkan dirinya sesuai waktu yang ditentukan,"" katanya saat dihubungi Kontan.co.id, Selasa (20/3).</p>

<p>Meski tak merinci, ia memberitahukan bahwa tagihan tersebut berasal dari tiga jenis kreditur: preferen (prioritas), separatis (dengan jaminan), dan konkuren (tanpa jaminan).</p>

<p>Nilai tagihan kreditur preferen senilai Rp 1,09 triliun, kreditur separatis senilai Rp 3,33 triliun, dan kreditur konkuren senilai Rp 5,61 triliun.</p>

<p>Sementara beberapa pemilik tagihan terbesar disebutkan Charles berasal dari Kementerian Keuangan dan beberapa perusahaan plat merah. Kementerian Keuangan memiliki tagihan sebesar Rp 2,6 Triliun, PT Pertamina (Persero) senilai Rp 2,8 triliun, dan PT PANN (Persero) senilai Rp 1,3 triliun.</p>

<p>Selain itu adapula tagihan dari beberapa BUMN lainnya semisal PT Telkom (Persero), PT Garuda Indonesia (Persero), dan PT Bank Mandiri (Persero).</p>

<p>""Aku lupa detailnya, tapi perusahaan BUMN ini ada yang dengan jaminan (separatis), ada yang tanpa jaminan (konkuren),"" jelasnya.</p>

<p>Sementara itu kuasa hukum Merpati Rizky Dwinanto menjelaskan piutang dari Kementerian Keuangan berasal dari pinjaman sehingga bisa ditagihkan.</p>

<p>""Iya kan ada yang penyertaan modal, atau pinjaman. Kalau dari pinjaman bisa ditagihkan. Dan kalau tidak salah Kementerian Keuangan memegang jaminan unit pesawat kita. Tapi saya perlu periksa lagi,"" katanya saat dihubungi Kontan.co.id, Selasa (20/3).</p>

<p>Sementara itu dari tagihan yang masuk, Rizky menyebutkan bahwa tak seluruhnya diakui oleh Merpati sebagai pemilik piutang.</p>

<p>Ada tiga alasan kata Rizky mengapa tagihan tersebut tak diakui. Pertama, tagihan memang tidak bisa dibuktikan, kedua tagihan mencantumkan bunga denda di luar perjanjian, ketiga piutang tak tercatat dalam sistem pembukuan Merpati</p>

<p>""Mayoritas tagihan memang kita akui, tapi ada yang tidak kita akui karena dalam prosesnya banyak yang tak memenuhi standar,"" jelasnya.</p>

<p>Meski demikian ia juga belum bisa merinci berapa nilai tagihan yang diakui, maupun yang tak diakui.</p>

<p>Sekadar informasi, Merpati masuk PKPU sementara melalui putusan Pengadilan Niaga Surabaya No.4/PDT.SUS-PKPU/2018/PN.Niaga.Sby bertanggal 6 Februari 2018 atas permohonan salah satu krediturnya PT Parewa Katering.</p>

<p>Merpati masuk PKPU lantaran dalam persidangan pemohon juga berhasil membuktikan bahwa Merpati juga memiliki tagihan lain yang berasal dari PT Kirana Mitra Mandiri, dan PT Pratitha Titian Nusantara.</p>

<p>Sebelumnya kuasa hukum PT Parewa Katering Aisyah Aiko Pulukadang mengatakan, tagihan MNA kepada PT Parewa Katering sendiri mencapai Rp 2 miliar lebih.</p>
-nan"
9,30,2,"<p>Jakarta, CNN Indonesia Kementerian Badan Usaha Milik Negara (BUMN) menyebut skema integrasi antara PT Perusahaan Gas Negara (Persero) Tbk (PGN) dan PT Pertagas masih dalam proses pengkajian. Rencananya, kedua perusahaan akan dilebur untuk berperan menjadi divisi bisnis gas dalam holding BUMN minyak dan gas (Migas).<br />
<br />
Deputi Bidang Usaha Energi, Logistik, Kawasan dan Pariwisata Kementerian BUMN Edwin Hidayat mengatakan skema ini bakal diputuskan setelah Kementerian Keuangan selesai menghitung nilai aset dari anggota holding migas, yakni PT Pertamina (Persero) dan PGN.<br />
<br />
""Penetapan nilai aset dari Kementerian Keuangan untuk efektifitas holding. Setelah itu baru bahas PGN dan Pertagas,"" ucap Edwin, Selasa (27/3).<br />
<br />
Seperti diketahui, Presiden Joko Widodo telah menandatangani pembentukan holding migas pada awal Maret 2018. Selanjutnya, Kementerian Keuangan juga membuat Keputusan Menteri Keuangan (KMK) terkait pengalihan saham PGN ke Pertamina.<br />
<br />
Nantinya, jumlah saham PGN milik pemerintah yang diberikan ke Pertamina akan mengacu pada beleid tersebut. KMK akan menjadi aturan turunan dari Peraturan Pemerintah Nomor 6 Tahun 2018.<br />
<br />
Sebelumnya, Direktur Sumber Daya Manusia (SDM) Pertamina Nicke Widyawati mengatakan penentuan skema integrasi antara PGN dan Pertagas diputuskan paling lambat Maret 2018. Beberapa skema yang sedang dibahas, yakni akuisisi dan inbreng.<br />
<br />
Namun, Edwin menyebut keputusan skema integrasi keduanya juga bakal diputuskan dalam Rapat Umum Pemegang Saham (RUPS) PGN yang digelar April mendatang.<br />
<br />
""Bagaimana pun skemanya, harus di RUPS PGN dulu ya,"" terang Edwin.<br />
<br />
Beberapa yang menjadi pembahasan, yaitu terkait upaya pencarian dana PGN jika memang skema jntegrasi yang diputuskan berbentuk akuisisi. Selain itu, skema inbreng juga masih masuk dalam salah satu opsi.<br />
<br />
""Sedang kaji mana yang cocok. Banyak sekali pertimbangannya,"" ungkap Edwin.</p>
-nan"
